央视,#genre#
海南卫视,http://ip.52kk.vip:4022/udp/239.76.246.203:1234$湖南电信
四川卫视,http://ip.52kk.vip:4022/udp/239.76.246.91:1234$湖南电信
天津卫视,http://ip.52kk.vip:4022/udp/239.76.246.185:1234$湖南电信
广东卫视,http://ip.52kk.vip:4022/udp/239.76.245.189:1234$湖南电信
广西卫视,http://ip.52kk.vip:4022/udp/239.76.247.54:1234$湖南电信
贵州卫视,http://ip.52kk.vip:4022/udp/239.76.245.198:1234$湖南电信
河北卫视,http://ip.52kk.vip:4022/udp/239.76.245.199:1234$湖南电信
河南卫视,http://ip.52kk.vip:4022/udp/239.76.246.202:1234$湖南电信
黑龙江卫视,http://ip.52kk.vip:4022/udp/239.76.246.200:1234$湖南电信
湖北卫视,http://ip.52kk.vip:4022/udp/239.76.246.193:1234$湖南电信
辽宁卫视,http://ip.52kk.vip:4022/udp/239.76.245.197:1234$湖南电信
吉林卫视,http://ip.52kk.vip:4022/udp/239.76.246.201:1234$湖南电信
江苏卫视,http://ip.52kk.vip:4022/udp/239.76.246.181:1234$湖南电信
江西卫视,http://ip.52kk.vip:4022/udp/239.76.245.225:1234$湖南电信
云南卫视,http://ip.52kk.vip:4022/udp/239.76.247.60:1234$湖南电信
山西卫视,http://ip.52kk.vip:4022/udp/239.76.252.105:9000$湖南电信
内蒙古卫视,http://ip.52kk.vip:4022/udp/239.76.252.106:9000$湖南电信
宁夏卫视,http://ip.52kk.vip:4022/udp/239.76.252.107:9000$湖南电信
西藏卫视,http://ip.52kk.vip:4022/udp/239.76.252.108:9000$湖南电信
新疆卫视,http://ip.52kk.vip:4022/udp/239.76.252.109:9000$湖南电信
厦门卫视,http://ip.52kk.vip:4022/udp/239.76.252.231:9000$湖南电信
兵团卫视,http://ip.52kk.vip:4022/udp/239.76.252.232:9000$湖南电信
三沙卫视,http://ip.52kk.vip:4022/udp/239.76.253.74:9000$湖南电信
山东教育,http://ip.52kk.vip:4022/udp/239.76.252.191:9000$湖南电信


港台,#genre#
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
凤凰资讯,http://192.168.200.1:8888/udp/239.76.253.134:9000
凤凰资讯,http://192.168.200.1:8888/udp/239.76.246.134:1234
凤凰中文,http://192.168.200.1:8888/udp/239.76.246.135:1234
凤凰中文,http://192.168.200.1:8888/udp/239.76.253.135:9000



凤凰资讯,http://ip.52kk.vip:4022/udp/239.76.253.134:9000$湖南电信
凤凰中文,http://ip.52kk.vip:4022/udp/239.76.253.135:9000$湖南电信
中天新闻欣赏,http://rihou.cc:555/tv/[Hv]中天新聞$[Hv]
寰宇新闻欣赏,http://rihou.cc:555/tv/[Hk]寰宇新闻$[Hk]

中天新闻,rtmp://123.156.165.47/live/yifatv-ztxw01$123.156
中天新闻,http://156.238.248.80:8880/play/1431.m3u8$潇雨

中天新闻4Gtv,http://220.135.64.124:5050/of-4gtv-4gtv009/index.m3u8?proxy=true
中天新闻CTI News,https://smt.goiptv.de5.net/smt.php?id=ctinews$goiptv
中天亚洲台,https://smt.goiptv.us.ci/ctiasia_twn/playlist.m3u8
中天新闻-5.44,http://5.44.249.130:5002/ts/8i2mwhruaecye9fa.ts$5.44
中天新闻-sk5,http://4.iycwp.top:18888/https://t.freetv.fun/live/zhong-tian-xin-wen-1.m3u8$yygj-sk5-中天新闻1
中天新闻-sk5,http://4.iycwp.top:18888/https://t.freetv.fun/live/zhong-tian-xin-wen-2.m3u8$yygj-sk5-中天新闻2
中天新闻-sk5,http://4.iycwp.top:18888/http://free.cnlive.club/channel/41d8a09d.m3u8$yygj-sk5-中天新闻3
中天新闻-sk5,http://4.iycwp.top:18888/https://t.freetv.fun/live/zhong-tian-xin-wen-20.m3u8$yygj-sk5-中天新闻4
中天新闻-sk5,http://4.iycwp.top:18888/http://5.44.249.130:5002/ts/8i2mwhruaecye9fa.ts$yygj-sk5-中天新闻5

凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx$jdshipin
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2$jdshipin
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk$jdshipin



香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8$hkstv
凤凰中文,http://r.jdshipin.com/cCCzW$r.jdshipin
凤凰资讯,http://r.jdshipin.com/0Rp07$r.jdshipin
凤凰香港,http://r.jdshipin.com/yDoTN$r.jdshipin
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd$jdshipin-smt
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd$jdshipin-smt
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn$jdshipin-smt
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw$jdshipin








 



亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8$官网
亚洲卫视,https://fenghuang.tv12.xyz/173.m3u8
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8$官网
澳门莲花,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8$官网
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
凤凰中文,https://cdn6.163189.xyz/163189/fhzw
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx
凤凰香港,https://cdn6.163189.xyz/163189/fhhk
重温经典,https://cdn6.163189.xyz/163189/cwjd
澳视澳门,https://cdn6.163189.xyz/163189/asam
澳视卫星,https://cdn6.163189.xyz/163189/as
澳门体育,https://cdn6.163189.xyz/163189/amty
澳门综艺,https://cdn6.163189.xyz/163189/amzy
澳门莲花,https://cdn6.163189.xyz/163189/amlh


欧洲华文电视,http://oh.eztv.vip/live/eztv1.m3u8
千禧经典台,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic$jdshipin-smt
